平衡问题中的几种常见的临界与极值,0.6384
匀变速直线运动的速度与位移的关系,0.6354
速度、速度变化与加速度的关系,0.6354
匀变速直线运动的位移与时间的关系,0.5703
实验：探究加速度与力、质量的关系,0.5639
加速度的分析与计算,0.5555
线速度与角速度的关系,0.5501
初速度为零的匀加速直线运动的规律,0.5367
重力的概念、大小和方向,0.5349
匀变速运动中x-t图象与v-t图象,0.5284
实验：探究弹力和弹簧伸长量的关系,0.5254
实验：用现代技术测量加速度,0.5192
匀变速直线运动的速度与时间的关系,0.5177
能量的分类和相互转化,0.5009
匀变速运动中的平均速度,0.4989
实验：探究功与物体速度变化的关系,0.4919
实验：验证力的平行四边形定则,0.4859
角速度与转速,0.484
用频闪相机研究平抛运动,0.4813
圆周运动的定义和描述,0.4753
匀变速直线运动的定义与特征,0.471
加速度的定义,0.4596
研究合运动与分运动,0.4461
常用仪器的使用与读数,0.444
平抛运动的研究方法,0.4429
自然界的四种基本相互作用,0.4426
用万有引力定律解释重力加速度,0.4378
实验：测定匀变速直线运动的加速度,0.4317
匀变速运动的a-t图象,0.4298
平均速度与瞬时速度,0.4289
利用现代方法验证动量守恒定律,0.4287
能源的分类和利用、能量耗散,0.4277
几种常见力做功的特点,0.427
实验：研究平抛物体的运动,0.4253
速率与速度,0.4228
功的概念和计算,0.4178
综合利用牛顿三定律解决问题,0.4162
利用能量守恒解决实际问题,0.4106
平抛运动的推论,0.409
平抛运动的计算,0.4067
用现代方法验证动能定理,0.4063
开普勒第二定律,0.3902
完全非弹性碰撞,0.3873
万有引力理论的成就,0.3822
惯性与质量,0.3782
动量定理的表述及应用,0.3781
变力做功的常见解法,0.3771
能量守恒定律的内容表述,0.3761
非完全弹性碰撞问题,0.3747
路程与位移,0.3738
匀变速运动的v-t图象,0.3737
斜牵引运动,0.3655
开普勒第三定律,0.3653
同步卫星与近地卫星,0.3633
动量守恒定律解决多过程问题,0.3583
牛顿第三定律的理解与应用,0.3574
追及与相遇问题,0.3534
开普勒第一定律,0.3462
万有引力定律的发现,0.3179
引力势能及其应用,0.3042
实验：验证动量守恒定律,0.3041
误差和有效数字,0.2893
非匀变速直线运动,0.2852
水平方向的圆周运动,0.284
牛顿定律与直线运动,0.2806
实验：验证机械能守恒定律,0.2783
动能定理的综合应用,0.2754
机械运动的概念,0.2752
竖直方向的圆周运动,0.2718
功率及其计算,0.2698
胡克定律,0.2692
离心运动,0.2635
机械能守恒定律及其条件,0.2564
标量与矢量,0.2554
重力的作用点：重心,0.2509
曲线运动的概念,0.247
受力分析,0.2432
功能关系,0.2374
力的概念,0.2361
曲线运动的条件,0.2294
伽利略的理想斜面实验,0.2291
一般人造卫星,0.2129
小船渡河问题,0.2104
连接体模型,0.2087
反冲问题,0.2069
动量守恒定律的内容,0.2036
时间与时刻,0.2008
基本单位,0.199
伽利略对自由落体运动的探究,0.1987
地心说与日心说,0.198
运动的分解,0.1977
完全弹性碰撞,0.1894
第一宇宙速度,0.1873
第二宇宙速度,0.1861
线速度,0.1826
超重与失重,0.1771
运动的合成,0.1698
爆炸问题,0.1613
导出单位,0.1609
刹车问题,0.1551
斜抛运动,0.1527
弹性势能,0.1524
牛顿第一定律,0.1425
弹力,0.1419
力的合成,0.1384
向心加速度,0.1376
滑动摩擦力,0.1343
冲量,0.1309
静摩擦力,0.1292
传送带模型,0.1266
机车启动,0.1195
实验：探究动能定理,0.1131
竖直上抛运动,0.0997
动能定理,0.0835
碰撞,0.0742
第三宇宙速度,0.0663
双星（多星）问题,0.0657
斜面模型,0.0615
机械能守恒定律的应用,0.0543
力的分解,0.0156
向心力,0.0121
动量,0.0032
质点,0
参考系,0
坐标系,0
自由落体运动,0
牛顿第二定律,0
板块模型,0
动能,0
重力势能,0
机械能,0
