力学,运动的描述,描述运动的几个物理量,机械运动的概念,,
力学,运动的描述,描述运动的几个物理量,质点,,
力学,运动的描述,描述运动的几个物理量,参考系,,
力学,运动的描述,描述运动的几个物理量,坐标系,,
力学,运动的描述,描述运动的几个物理量,标量与矢量,,
力学,运动的描述,描述运动的几个物理量,路程与位移,,
力学,运动的描述,描述运动的几个物理量,时间与时刻,,
力学,运动的描述,速度,速率与速度,,
力学,运动的描述,速度,平均速度与瞬时速度,,
力学,运动的描述,实验：测量物体的速度,,,
力学,运动的描述,匀速直线运动,,,
力学,运动的描述,用x-t图像描述匀速运动,,,
力学,运动的描述,加速度,加速度的定义,,
力学,运动的描述,加速度,加速度的分析与计算,,
力学,运动的描述,加速度,速度、速度变化与加速度的关系,,
力学,直线运动,匀变速直线运动,实验：测定匀变速直线运动的加速度,,
力学,直线运动,匀变速直线运动,实验：用现代技术测量加速度,,
力学,直线运动,匀变速直线运动,匀变速直线运动的定义与特征,,
力学,直线运动,匀变速直线运动,匀变速直线运动的速度与时间的关系,,
力学,直线运动,匀变速直线运动,匀变速运动的v-t图象,v-t图象斜率的物理意义、利用v-t图象求加速度,
力学,直线运动,匀变速直线运动,匀变速运动的v-t图象,v-t图象的面积,
力学,直线运动,匀变速直线运动,匀变速运动的v-t图象,用v-t图像解决匀变速运动的问题,
力学,直线运动,匀变速直线运动,匀变速直线运动的位移与时间的关系,,
力学,直线运动,匀变速直线运动,匀变速运动中的平均速度,匀变速直线运动平均速度的计算,
力学,直线运动,匀变速直线运动,匀变速运动中的平均速度,利用中间时刻速度解决问题,
力学,直线运动,匀变速直线运动,匀变速运动中的平均速度,利用平均速度解决匀变速运动的问题,
力学,直线运动,匀变速直线运动,匀变速直线运动的速度与位移的关系,位移速度公式的推导与简单应用,
力学,直线运动,匀变速直线运动,匀变速直线运动的速度与位移的关系,中间位移处瞬时速度的计算,
力学,直线运动,匀变速直线运动,匀变速运动中x-t图象与v-t图象,,
力学,直线运动,匀变速直线运动,匀变速运动的a-t图象,,
力学,直线运动,匀变速直线运动规律的应用,初速度为零的匀加速直线运动的规律,连续相等时间内的运动规律,
力学,直线运动,匀变速直线运动规律的应用,初速度为零的匀加速直线运动的规律,等分运动的规律,
力学,直线运动,匀变速直线运动规律的应用,初速度为零的匀加速直线运动的规律,连续相等位移的运动规律,
力学,直线运动,匀变速直线运动规律的应用,自由落体运动,自由落体运动的特征,
力学,直线运动,匀变速直线运动规律的应用,自由落体运动,重力加速度及其测定,
力学,直线运动,匀变速直线运动规律的应用,自由落体运动,自由落体运动的三个基本公式,
力学,直线运动,匀变速直线运动规律的应用,自由落体运动,自由落体运动的图象,
力学,直线运动,匀变速直线运动规律的应用,自由落体运动,自由落体运动平均速度,
力学,直线运动,匀变速直线运动规律的应用,自由落体运动,自由落体运动的重要推论Δh=gT²,
力学,直线运动,匀变速直线运动规律的应用,自由落体运动,用自由落体运动公式求解频闪照片问题,
力学,直线运动,匀变速直线运动规律的应用,伽利略对自由落体运动的探究,,
力学,直线运动,匀变速直线运动规律的应用,竖直上抛运动,竖直上抛运动的三个基本公式,
力学,直线运动,匀变速直线运动规律的应用,竖直上抛运动,竖直上抛运动的v-t图象,
力学,直线运动,匀变速直线运动规律的应用,竖直上抛运动,竖直上抛运动的高度、速度与时间的计算,
力学,直线运动,匀变速直线运动规律的应用,竖直上抛运动,自由落体和竖直上抛相遇类问题,
力学,直线运动,匀变速直线运动规律的应用,追及与相遇问题,变速物体追匀速物体,
力学,直线运动,匀变速直线运动规律的应用,追及与相遇问题,变速物体追变速物体,
力学,直线运动,匀变速直线运动规律的应用,追及与相遇问题,避免相撞类问题,
力学,直线运动,匀变速直线运动规律的应用,追及与相遇问题,追击猎物问题,
力学,直线运动,匀变速直线运动规律的应用,追及与相遇问题,接力赛问题,
力学,直线运动,匀变速直线运动规律的应用,追及与相遇问题,相遇次数问题,
力学,直线运动,匀变速直线运动规律的应用,刹车问题,,
力学,直线运动,匀变速直线运动规律的应用,非匀变速直线运动,利用v-t图像解决非匀变速运动,
力学,直线运动,匀变速直线运动规律的应用,非匀变速直线运动,利用a-t图像解决非匀变速运动,
力学,直线运动,匀变速直线运动规律的应用,非匀变速直线运动,解决非匀变速直线运动的特殊方法,
力学,相互作用,力,力的概念,,
